"client_name","FC Name","AGN Number","PO Number","Product Number","Expected Quantity","Received","QC Accepted","TBQ","REJ","Shortage"
"RSR INFORMATICS PVT-PAYTM","DELFC4","1369718453987","PO-20180731-1055152","172817882",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182772191","PO-20180731-1055153","174500737",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1369718454014","PO-20180731-1055155","172817882",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182737404","PO-20180731-1055157","172809171",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182746605","PO-20180731-1055158","172809171",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182738794","PO-20180731-1055159","172809171",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182750402","PO-20180731-1055161","172809171",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1369718453970","PO-20180731-1055163","172817882",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182738529","PO-20180731-1055166","172809171",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1369718454227","PO-20180731-1055167","172703969",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1369718453451","PO-20180731-1055170","172703969",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182748148","PO-20180731-1055171","187798916",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1369718454185","PO-20180731-1055173","172817882",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1369718453455","PO-20180731-1055175","172703969",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1369718454243","PO-20180731-1055178","172817882",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182751582","PO-20180731-1055180","172818198",1,1,0,1,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182766529","PO-20180731-1055182","172723880",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1369718454167","PO-20180731-1055184","172817882",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1369718453978","PO-20180731-1055186","172817882",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182748408","PO-20180731-1055188","187798916",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182746205","PO-20180731-1055190","172809171",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1369718454215","PO-20180731-1055191","172703969",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182761931","PO-20180731-1055192","172704081",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182772885","PO-20180731-1055193","174500737",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1369718453474","PO-20180731-1055194","172703969",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1369718454008","PO-20180731-1055206","172817882",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1369718454221","PO-20180731-1055207","172817882",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182702536","PO-20180731-1055208","172817882",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1369718454173","PO-20180731-1055210","172817882",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1369718453458","PO-20180731-1055211","172703969",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182772906","PO-20180731-1055213","174500737",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182793326","PO-20180731-1055216","172723880",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1369718454193","PO-20180731-1055219","172817882",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182772970","PO-20180731-1055222","174500737",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182738799","PO-20180731-1055224","172809171",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1369718453463","PO-20180731-1055227","172817882",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1369718454111","PO-20180731-1055232","172817882",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1369718455693","PO-20180731-1055236","172703971",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1369718453967","PO-20180731-1055239","172817882",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182738775","PO-20180731-1055243","172809171",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182738598","PO-20180731-1055245","172809171",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1369718453838","PO-20180731-1055253","172817882",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1369718453937","PO-20180731-1055255","172817882",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182793175","PO-20180731-1055258","172723880",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1369718454105","PO-20180731-1055269","172817882",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1369718454033","PO-20180731-1055271","172817882",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1227184409607","PO-20180731-1055274","172703971",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1369718453422","PO-20180731-1055280","172817882",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1369718453890","PO-20180731-1055285","172817882",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1369718453431","PO-20180731-1055301","172817882",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1369718454191","PO-20180731-1055309","172817882",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1369718454055","PO-20180731-1055313","172817882",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182765419","PO-20180731-1055316","172723887",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1227184237641","PO-20180731-1055319","172817882",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182772810","PO-20180731-1055324","174500737",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182746591","PO-20180731-1055327","172809171",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182738778","PO-20180731-1055330","172809171",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1369718453420","PO-20180731-1055339","172817882",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1227184238482","PO-20180731-1055344","172817882",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1369718453923","PO-20180731-1055356","172817882",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182766263","PO-20180731-1055369","172723880",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1369718453840","PO-20180731-1055373","172817882",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1369718453867","PO-20180731-1055376","172817882",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1369718453991","PO-20180731-1055380","172817882",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1369718454127","PO-20180731-1055395","172809171",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1369718453932","PO-20180731-1055406","172817882",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182748062","PO-20180731-1055409","187798916",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182737890","PO-20180731-1055414","172809171",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1227184237636","PO-20180731-1055434","172817882",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182750903","PO-20180731-1055447","172809171",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1369718454121","PO-20180731-1055454","172817882",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1369718454874","PO-20180731-1055469","172703971",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182737975","PO-20180731-1055475","172809171",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1369718453879","PO-20180731-1055484","172817882",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1369718454082","PO-20180731-1055491","172817882",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1227184237917","PO-20180731-1055496","172817882",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1369718454133","PO-20180731-1055504","172817882",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182738489","PO-20180731-1055510","172809171",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1369718453928","PO-20180731-1055521","172817882",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182738740","PO-20180731-1055567","172809171",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182772397","PO-20180731-1055574","174500737",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1369718454148","PO-20180731-1055581","172817882",1,1,1,0,0,0
