"serial","updated_at","client_name","fulfillment_center_name","prod_number","prod_name","last_remark","tags","ageing"
"35810048",2018-07-04 14:17:06,"RSR INFORMATICS PVT-PAYTM","DELFC4","172723880","Apple iPhone 6S 32 GB Space Grey","MRP Mismatch on Panel   49000 Phiyscal MRP 41550","{Rejected}",27
"36462276",2018-07-11 10:57:50,"RSR INFORMATICS PVT-PAYTM","DELFC4","174500733","Apple iPhone 6 32 GB (Space Grey)","on panel product mrp 31900/- but on physical product mrp 30780/-","{Rejected}",20
"36510157",2018-07-11 10:58:02,"RSR INFORMATICS PVT-PAYTM","DELFC4","174500733","Apple iPhone 6 32 GB (Space Grey)","on panel product mrp 31900/- but on physical product mrp 30780/-","{Rejected}",20
"36567024",2018-07-12 10:41:02,"RSR INFORMATICS PVT-PAYTM","DELFC4","174500733","Apple iPhone 6 32 GB (Space Grey)","on panel product mrp 31900/- but on physical product mrp 30780.00","{Rejected}",19
"36564651",2018-07-12 10:40:41,"RSR INFORMATICS PVT-PAYTM","DELFC4","174500733","Apple iPhone 6 32 GB (Space Grey)","on panel product mrp 31900/- but on physical product mrp 30780/-","{Rejected}",19
"36565514",2018-07-12 10:40:48,"RSR INFORMATICS PVT-PAYTM","DELFC4","174500733","Apple iPhone 6 32 GB (Space Grey)","on panel product mrp 31900/- but on physical product mrp 30780/-","{Rejected}",19
"36565826",2018-07-12 10:40:20,"RSR INFORMATICS PVT-PAYTM","DELFC4","174500733","Apple iPhone 6 32 GB (Space Grey)","on panel product mrp 31900/- but on physical product mrp 30780/-","{Rejected}",19
"36565865",2018-07-12 10:41:08,"RSR INFORMATICS PVT-PAYTM","DELFC4","174500733","Apple iPhone 6 32 GB (Space Grey)","on panel  product mrp 31900/- but on physical product mrp 30780/-","{Rejected}",19
"36566058",2018-07-12 10:41:22,"RSR INFORMATICS PVT-PAYTM","DELFC4","174500733","Apple iPhone 6 32 GB (Space Grey)","on panel product mrp 31900/- but on physical product mrp 30780/-","{Rejected}",19
"36567361",2018-07-12 10:41:15,"RSR INFORMATICS PVT-PAYTM","DELFC4","174500733","Apple iPhone 6 32 GB (Space Grey)","on panel product mrp 31900/- but on physical product mrp 30780/-","{Rejected}",19
"36567400",2018-07-12 10:41:28,"RSR INFORMATICS PVT-PAYTM","DELFC4","174500733","Apple iPhone 6 32 GB (Space Grey)","on panel product mrp 31900/- but on physical product mrp 30780/-","{Rejected}",19
"36567549",2018-07-12 10:41:42,"RSR INFORMATICS PVT-PAYTM","DELFC4","174500733","Apple iPhone 6 32 GB (Space Grey)","on panel product mrp 31900/- but on physical product mrp 30780/-","{Rejected}",19
"36567677",2018-07-12 10:41:48,"RSR INFORMATICS PVT-PAYTM","DELFC4","174500733","Apple iPhone 6 32 GB (Space Grey)","on panel product mrp 31900/- but on physical product mrp 30780/-","{Rejected}",19
"36566074",2018-07-12 10:41:34,"RSR INFORMATICS PVT-PAYTM","DELFC4","174500733","Apple iPhone 6 32 GB (Space Grey)","on panel product mrp 31900/- but on physical product mrp 30780/-","{Rejected}",19
"36682066",2018-07-14 18:08:51,"RSR INFORMATICS PVT-PAYTM","DELFC4","174500733","Apple iPhone 6 32 GB (Space Grey)","on panel product mrp 31900/- but on physical product mrp 30780/-","{Rejected}",17
"36682094",2018-07-14 18:09:00,"RSR INFORMATICS PVT-PAYTM","DELFC4","174500733","Apple iPhone 6 32 GB (Space Grey)","on panel product mrp 31900/- but on physical product mrp 30780/-","{Rejected}",17
"36683845",2018-07-14 18:08:39,"RSR INFORMATICS PVT-PAYTM","DELFC4","174500733","Apple iPhone 6 32 GB (Space Grey)","on panel product mrp 31900/- but on physical product mrp 30780/-","{Rejected}",17
"36752207",2018-07-26 10:20:02,"RSR INFORMATICS PVT-PAYTM","DELFC4","172817882","Apple iPhone X 64 GB (Silver)","MRP Mismatch on Panel 95390 Phiyscal  MRP 92430","{Rejected}",5
"36752326",2018-07-26 10:20:14,"RSR INFORMATICS PVT-PAYTM","DELFC4","172817882","Apple iPhone X 64 GB (Silver)","MRP Mismatch on Panel 95390 Phiyscal MRP 92430","{Rejected}",5
"37418435",2018-07-27 10:52:52,"RSR INFORMATICS PVT-PAYTM","DELFC4","172818198","Apple iPhone X - 64 GB | Space Grey","IMEI no. entered has already been used. Enter a valid IMEI no.","{Rejected}",4
"36883327",2018-07-26 10:19:32,"RSR INFORMATICS PVT-PAYTM","DELFC4","174500733","Apple iPhone 6 32 GB (Space Grey)","on panel product mrp 31900/- but on physical product mrp 30780/-","{Rejected}",5
"37170681",2018-07-26 10:19:56,"RSR INFORMATICS PVT-PAYTM","DELFC4","174500733","Apple iPhone 6 32 GB (Space Grey)","MRP Mismatch on Panel 31900 Phiyscal MRP 30780","{Rejected}",5
"37415061",2018-07-29 06:55:20,"RSR INFORMATICS PVT-PAYTM","DELFC4","172818198","Apple iPhone X - 64 GB | Space Grey","IMEI no. entered has already been used. Enter a valid IMEI no.","{Rejected}",2
"37415351",2018-07-27 10:52:17,"RSR INFORMATICS PVT-PAYTM","DELFC4","172818198","Apple iPhone X - 64 GB | Space Grey","IMEI no. entered has already been used. Enter a valid IMEI no.","{Rejected}",4
"37416385",2018-07-27 10:53:10,"RSR INFORMATICS PVT-PAYTM","DELFC4","172818198","Apple iPhone X - 64 GB | Space Grey","IMEI no. entered has already been used. Enter a valid IMEI no.","{Rejected}",4
"37418134",2018-07-27 10:52:56,"RSR INFORMATICS PVT-PAYTM","DELFC4","172818198","Apple iPhone X - 64 GB | Space Grey","IMEI no. entered has already been used. Enter a valid IMEI no.","{Rejected}",4
"37419211",2018-07-27 10:52:23,"RSR INFORMATICS PVT-PAYTM","DELFC4","172818198","Apple iPhone X - 64 GB | Space Grey","IMEI no. entered has already been used. Enter a valid IMEI no.","{Rejected}",4
"37420490",2018-07-27 10:52:22,"RSR INFORMATICS PVT-PAYTM","DELFC4","172818198","Apple iPhone X - 64 GB | Space Grey","IMEI no. entered has already been used. Enter a valid IMEI no.","{Rejected}",4
"37421426",2018-07-27 10:52:06,"RSR INFORMATICS PVT-PAYTM","DELFC4","172818198","Apple iPhone X - 64 GB | Space Grey","IMEI no. entered has already been used. Enter a valid IMEI no.","{Rejected}",4
"37423634",2018-07-27 10:52:41,"RSR INFORMATICS PVT-PAYTM","DELFC4","172818198","Apple iPhone X - 64 GB | Space Grey","IMEI no. entered has already been used. Enter a valid IMEI no.","{Rejected}",4
"37423148",2018-07-27 10:52:16,"RSR INFORMATICS PVT-PAYTM","DELFC4","172818198","Apple iPhone X - 64 GB | Space Grey","IMEI no. entered has already been used. Enter a valid IMEI no.","{Rejected}",4
"37424762",2018-07-27 10:52:10,"RSR INFORMATICS PVT-PAYTM","DELFC4","172818198","Apple iPhone X - 64 GB | Space Grey","IMEI no. entered has already been used. Enter a valid IMEI no.","{Rejected}",4
"37427432",2018-07-27 10:52:31,"RSR INFORMATICS PVT-PAYTM","DELFC4","172818198","Apple iPhone X - 64 GB | Space Grey","IMEI no. entered has already been used. Enter a valid IMEI no.","{Rejected}",4
"37428019",2018-07-27 10:52:40,"RSR INFORMATICS PVT-PAYTM","DELFC4","172818198","Apple iPhone X - 64 GB | Space Grey","IMEI no. entered has already been used. Enter a valid IMEI no.","{Rejected}",4
"37427865",2018-07-27 10:53:03,"RSR INFORMATICS PVT-PAYTM","DELFC4","172818198","Apple iPhone X - 64 GB | Space Grey","IMEI no. entered has already been used. Enter a valid IMEI no.","{Rejected}",4
"37417329",2018-07-27 10:52:02,"RSR INFORMATICS PVT-PAYTM","DELFC4","172818198","Apple iPhone X - 64 GB | Space Grey","IMEI no. entered has already been used. Enter a valid IMEI no.","{Rejected}",4
"37598653",2018-07-26 10:19:51,"RSR INFORMATICS PVT-PAYTM","DELFC4","174500733","Apple iPhone 6 32 GB (Space Grey)","MRP Mismatch on Panel 31900 Phiyscal  MRP 30780","{Rejected}",5
"36884475",2018-07-26 10:19:38,"RSR INFORMATICS PVT-PAYTM","DELFC4","174500733","Apple iPhone 6 32 GB (Space Grey)","on panel product mrp 31900/- but on physical product mrp 30780/-","{Rejected}",5
"36883484",2018-07-26 10:19:44,"RSR INFORMATICS PVT-PAYTM","DELFC4","174500733","Apple iPhone 6 32 GB (Space Grey)","on panel product mrp 31900/- but on physical product mrp 30780/-","{Rejected}",5
"36752417",2018-07-26 10:20:07,"RSR INFORMATICS PVT-PAYTM","DELFC4","172817882","Apple iPhone X 64 GB (Silver)","MRP Mismatch on Panel 95390 Phiyscal MRP 92430","{Rejected}",5
"37416603",2018-07-29 09:35:25,"RSR INFORMATICS PVT-PAYTM","DELFC4","172818198","Apple iPhone X - 64 GB | Space Grey","IMEI no. entered has already been used. Enter a valid IMEI no.","{Rejected}",2
"37422233",2018-07-27 18:31:39,"RSR INFORMATICS PVT-PAYTM","DELFC4","172818198","Apple iPhone X - 64 GB | Space Grey","IMEI no. entered has already been used. Enter a valid IMEI no.","{Rejected}",4
"38347301",2018-07-29 14:40:24,"RSR INFORMATICS PVT-PAYTM","DELFC4","172817882","Apple iPhone X 64 GB (Silver)","Seal Broken","{Rejected}",2
