"prod_number","client_name","fulfillment_center_name","po_number","0-7 days","16-23 days","24-31 days","32-45 days","46-60 days","61-90 days","8-15 days",">90 days"
"174500737","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180712-999441",0,1,0,0,0,0,0,0
"153471021","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180717-1014831",0,0,0,0,0,0,192,0
"173328189","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180723-1033085",0,0,0,0,0,0,1,0
"172636626","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180613-926938",0,0,0,0,11,0,0,0
"174500737","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180712-1000616",0,1,0,0,0,0,0,0
"172723877","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180724-1036589",1,0,0,0,0,0,0,0
"153469322","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180703-966264",0,0,1,0,0,0,0,0
"153469322","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180730-1051945",1,0,0,0,0,0,0,0
"173328189","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180730-1054321",1,0,0,0,0,0,0,0
"172817882","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180731-1055173",1,0,0,0,0,0,0,0
"172703969","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180731-1055191",1,0,0,0,0,0,0,0
"172817882","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180731-1055207",1,0,0,0,0,0,0,0
"172817882","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180731-1055255",1,0,0,0,0,0,0,0
"172817882","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180731-1055269",1,0,0,0,0,0,0,0
"172723880","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180731-1056956",1,0,0,0,0,0,0,0
"174500737","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180717-1017400",0,0,0,0,0,0,1,0
"173328189","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180723-1033136",0,0,0,0,0,0,1,0
"174500733","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180630-961904",0,0,1,0,0,0,0,0
"173328189","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180727-1045459",1,0,0,0,0,0,0,0
"173328189","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180727-1045536",1,0,0,0,0,0,0,0
"172809171","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180727-1046785",1,0,0,0,0,0,0,0
"172723880","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180727-1046848",1,0,0,0,0,0,0,0
"172723880","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180727-1046999",1,0,0,0,0,0,0,0
"172703971","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180728-1049305",1,0,0,0,0,0,0,0
"174500737","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180730-1054823",1,0,0,0,0,0,0,0
"174500737","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180731-1055213",1,0,0,0,0,0,0,0
"172703971","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180731-1055274",1,0,0,0,0,0,0,0
"172817882","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180731-1055339",1,0,0,0,0,0,0,0
"173328189","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180723-1033148",0,0,0,0,0,0,1,0
"173328189","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180723-1033172",0,0,0,0,0,0,1,0
"153469322","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180703-966682",0,0,1,0,0,0,0,0
"174500737","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180714-1009232",0,1,0,0,0,0,0,0
"174500733","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180714-1009249",0,1,0,0,0,0,0,0
"153469322","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180726-1043246",1,0,0,0,0,0,0,0
"153469322","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180730-1051889",1,0,0,0,0,0,0,0
"172817882","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180730-1054946",1,0,0,0,0,0,0,0
"172817882","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180730-1054897",1,0,0,0,0,0,0,0
"172809171","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180730-1054928",1,0,0,0,0,0,0,0
"172703969","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180731-1055175",1,0,0,0,0,0,0,0
"172817882","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180731-1055376",1,0,0,0,0,0,0,0
