"serial","updated_at","client_name","fulfillment_center_name","prod_number","prod_name","last_remark","tags","ageing"
"38202376",2018-07-28 20:20:52,"RSR INFORMATICS PVT-PAYTM","DELFC4","172818198","Apple iPhone X - 64 GB | Space Grey","on panel product MRP 95390/-but in phiysical product MRP 92430/-","{To-be-quarantined}",3
"38203681",2018-07-28 20:20:44,"RSR INFORMATICS PVT-PAYTM","DELFC4","172818198","Apple iPhone X - 64 GB | Space Grey","On panel product MRP 95390/-but in phiysical product MRP 92430/-","{To-be-quarantined}",3
"38204790",2018-07-28 20:21:19,"RSR INFORMATICS PVT-PAYTM","DELFC4","172818198","Apple iPhone X - 64 GB | Space Grey","On panel product MRP 95390/-but phiysical product MRP 92430/-","{To-be-quarantined}",3
"38205142",2018-07-28 20:21:10,"RSR INFORMATICS PVT-PAYTM","DELFC4","172818198","Apple iPhone X - 64 GB | Space Grey","On panel product MRP 95390/-but in phiysical product MRP 92430/-","{To-be-quarantined}",3
"38205610",2018-07-28 20:21:00,"RSR INFORMATICS PVT-PAYTM","DELFC4","172818198","Apple iPhone X - 64 GB | Space Grey","on panel product MRP 95390/-but in phiysical product MRP 92430/-","{To-be-quarantined}",3
"38562685",2018-07-30 21:02:04,"RSR INFORMATICS PVT-PAYTM","DELFC4","172818198","Apple iPhone X - 64 GB | Space Grey","on panel product MRP 95390/-but in phiysical product MRP 92430/-","{To-be-quarantined}",1
"38563671",2018-07-30 21:02:11,"RSR INFORMATICS PVT-PAYTM","DELFC4","172818198","Apple iPhone X - 64 GB | Space Grey","On panel product MRP 95390/-but in phiysical product MRP 92430/-","{To-be-quarantined}",1
"38614904",2018-07-31 12:55:17,"RSR INFORMATICS PVT-PAYTM","DELFC4","172818198","Apple iPhone X - 64 GB | Space Grey","on panel product mrp 95390/- but on physical product mrp 92430/-","{To-be-quarantined}",0
"38648513",2018-07-31 12:55:04,"RSR INFORMATICS PVT-PAYTM","DELFC4","172818198","Apple iPhone X - 64 GB | Space Grey","on panel product mrp 95390/- but on physical product mrp 92430/-","{To-be-quarantined}",0
"38650312",2018-07-31 12:55:10,"RSR INFORMATICS PVT-PAYTM","DELFC4","172818198","Apple iPhone X - 64 GB | Space Grey","on panel product  mrp 95390/-but on physical product mrp 92430/-","{To-be-quarantined}",0
